Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)

Weight 1:
  E1      = XIIIIIIIIIIIII
  E2      = YIIIIIIIIIIIII
  E3      = ZIIIIIIIIIIIII
  E4      = IXIIIIIIIIIIII
  E5      = IIXIIIIIIIIIII
  E6      = IIIXIIIIIIIIII
  E7      = IIIIXIIIIIIIII
  E8      = IIIIIXIIIIIIII
  E9      = IIIIIIXIIIIIII
  E10     = IIIIIIIXIIIIII
  E11     = IIIIIIIIXIIIII
  E12     = IIIIIIIIIXIIII
  E13     = IIIIIIIIIIXIII
  E14     = IIIIIIIIIIIXII

Weight 2:
  E1      = XXIIIIIIIIIIII
  E2      = YXIIIIIIIIIIII
  E3      = ZXIIIIIIIIIIII
  E4      = XIXIIIIIIIIIII
  E5      = YIXIIIIIIIIIII
  E6      = ZIXIIIIIIIIIII
  E7      = XIIXIIIIIIIIII
  E8      = YIIXIIIIIIIIII
  E9      = ZIIXIIIIIIIIII
  E10     = XIIIXIIIIIIIII
  E11     = YIIIXIIIIIIIII
  E12     = ZIIIXIIIIIIIII
  E13     = XIIIIXIIIIIIII
  E14     = YIIIIXIIIIIIII
  E15     = ZIIIIXIIIIIIII
  E16     = XIIIIIXIIIIIII
  E17     = YIIIIIXIIIIIII
  E18     = ZIIIIIXIIIIIII
  E19     = XIIIIIIXIIIIII
  E20     = YIIIIIIXIIIIII
  E21     = ZIIIIIIXIIIIII
  E22     = XIIIIIIIXIIIII
  E23     = YIIIIIIIXIIIII
  E24     = ZIIIIIIIXIIIII
  E25     = XIIIIIIIIXIIII
  E26     = YIIIIIIIIXIIII
  E27     = ZIIIIIIIIXIIII
  E28     = XIIIIIIIIIXIII
  E29     = YIIIIIIIIIXIII
  E30     = ZIIIIIIIIIXIII
  E31     = XIIIIIIIIIIXII
  E32     = YIIIIIIIIIIXII
  E33     = ZIIIIIIIIIIXII
  E34     = IXXIIIIIIIIIII
  E35     = IYYIIIIIIIIIII
  E36     = IZYIIIIIIIIIII
  E37     = IYZIIIIIIIIIII
  E38     = IZZIIIIIIIIIII
  E39     = IXIXIIIIIIIIII
  E40     = IXIIXIIIIIIIII
  E41     = IXIIIXIIIIIIII
  E42     = IXIIIIXIIIIIII
  E43     = IXIIIIIXIIIIII
  E44     = IXIIIIIIXIIIII
  E45     = IXIIIIIIIXIIII
  E46     = IXIIIIIIIIXIII
  E47     = IXIIIIIIIIIXII
  E48     = IIXXIIIIIIIIII
  E49     = IIXIXIIIIIIIII
  E50     = IIXIIXIIIIIIII
  E51     = IIXIIIXIIIIIII
  E52     = IIXIIIIXIIIIII
  E53     = IIXIIIIIXIIIII
  E54     = IIXIIIIIIXIIII
  E55     = IIXIIIIIIIXIII
  E56     = IIXIIIIIIIIXII
  E57     = IIIXXIIIIIIIII
  E58     = IIIXIXIIIIIIII
  E59     = IIIXIIXIIIIIII
  E60     = IIIXIIIXIIIIII
  E61     = IIIXIIIIXIIIII
  E62     = IIIXIIIIIXIIII
  E63     = IIIXIIIIIIXIII
  E64     = IIIXIIIIIIIXII
  E65     = IIIYIIIIIIIIZI
  E66     = IIIZIIIIIIIIZI
  E67     = IIIYIIIIIIIIIZ
  E68     = IIIZIIIIIIIIIZ
  E69     = IIIIXXIIIIIIII
  E70     = IIIIXIXIIIIIII
  E71     = IIIIXIIXIIIIII
  E72     = IIIIXIIIXIIIII
  E73     = IIIIXIIIIXIIII
  E74     = IIIIXIIIIIXIII
  E75     = IIIIXIIIIIIXII
  E76     = IIIIYIIIIIIIXI
  E77     = IIIIZIIIIIIIXI
  E78     = IIIIYIIIIIIIIX
  E79     = IIIIZIIIIIIIIX
  E80     = IIIIIXXIIIIIII
  E81     = IIIIIYYIIIIIII
  E82     = IIIIIZYIIIIIII
  E83     = IIIIIYZIIIIIII
  E84     = IIIIIZZIIIIIII
  E85     = IIIIIXIXIIIIII
  E86     = IIIIIXIIXIIIII
  E87     = IIIIIXIIIXIIII
  E88     = IIIIIXIIIIXIII
  E89     = IIIIIXIIIIIXII
  E90     = IIIIIIXXIIIIII
  E91     = IIIIIIXIXIIIII
  E92     = IIIIIIXIIXIIII
  E93     = IIIIIIXIIIXIII
  E94     = IIIIIIXIIIIXII
  E95     = IIIIIIIXXIIIII
  E96     = IIIIIIIYYIIIII
  E97     = IIIIIIIZYIIIII
  E98     = IIIIIIIYZIIIII
  E99     = IIIIIIIZZIIIII
  E100    = IIIIIIIXIXIIII
  E101    = IIIIIIIXIIXIII
  E102    = IIIIIIIXIIIXII
  E103    = IIIIIIIIXXIIII
  E104    = IIIIIIIIXIXIII
  E105    = IIIIIIIIXIIXII
  E106    = IIIIIIIIIXXIII
  E107    = IIIIIIIIIXIXII
  E108    = IIIIIIIIIYIIYI
  E109    = IIIIIIIIIZIIYI
  E110    = IIIIIIIIIYIIIY
  E111    = IIIIIIIIIZIIIY
  E112    = IIIIIIIIIIXXII
  E113    = IIIIIIIIIIYYII
  E114    = IIIIIIIIIIZYII
  E115    = IIIIIIIIIIYZII
  E116    = IIIIIIIIIIZZII
  E117    = IIIIIIIIIIIIXX
  E118    = IIIIIIIIIIIIYY
  E119    = IIIIIIIIIIIIZZ

Weight 3:
  E1      = XXXIIIIIIIIIII
  E2      = YXXIIIIIIIIIII
  E3      = ZXXIIIIIIIIIII
  E4      = XYYIIIIIIIIIII
  E5      = YYYIIIIIIIIIII
  E6      = ZYYIIIIIIIIIII
  E7      = XZYIIIIIIIIIII
  E8      = YZYIIIIIIIIIII
  E9      = ZZYIIIIIIIIIII
  E10     = XYZIIIIIIIIIII
  E11     = YYZIIIIIIIIIII
  E12     = ZYZIIIIIIIIIII
  E13     = XZZIIIIIIIIIII
  E14     = YZZIIIIIIIIIII
  E15     = ZZZIIIIIIIIIII
  E16     = XXIXIIIIIIIIII
  E17     = YXIXIIIIIIIIII
  E18     = ZXIXIIIIIIIIII
  E19     = XXIIXIIIIIIIII
  E20     = YXIIXIIIIIIIII
  E21     = ZXIIXIIIIIIIII
