Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)

Weight 1:
  E1      = XIIIIIIIIIIIII
  E2      = YIIIIIIIIIIIII
  E3      = ZIIIIIIIIIIIII
  E4      = IXIIIIIIIIIIII
  E5      = IYIIIIIIIIIIII
  E6      = IZIIIIIIIIIIII
  E7      = IIXIIIIIIIIIII
  E8      = IIYIIIIIIIIIII
  E9      = IIZIIIIIIIIIII
  E10     = IIIXIIIIIIIIII
  E11     = IIIYIIIIIIIIII
  E12     = IIIZIIIIIIIIII
  E13     = IIIIXIIIIIIIII
  E14     = IIIIIXIIIIIIII

Weight 2:
  E1      = XXIIIIIIIIIIII
  E2      = YXIIIIIIIIIIII
  E3      = ZXIIIIIIIIIIII
  E4      = XYIIIIIIIIIIII
  E5      = YYIIIIIIIIIIII
  E6      = ZYIIIIIIIIIIII
  E7      = XZIIIIIIIIIIII
  E8      = YZIIIIIIIIIIII
  E9      = ZZIIIIIIIIIIII
  E10     = XIXIIIIIIIIIII
  E11     = YIXIIIIIIIIIII
  E12     = ZIXIIIIIIIIIII
  E13     = XIYIIIIIIIIIII
  E14     = YIYIIIIIIIIIII
  E15     = ZIYIIIIIIIIIII
  E16     = XIZIIIIIIIIIII
  E17     = YIZIIIIIIIIIII
  E18     = ZIZIIIIIIIIIII
  E19     = XIIXIIIIIIIIII
  E20     = YIIXIIIIIIIIII
  E21     = ZIIXIIIIIIIIII
  E22     = XIIYIIIIIIIIII
  E23     = YIIYIIIIIIIIII
  E24     = ZIIYIIIIIIIIII
  E25     = XIIZIIIIIIIIII
  E26     = YIIZIIIIIIIIII
  E27     = ZIIZIIIIIIIIII
  E28     = XIIIXIIIIIIIII
  E29     = YIIIXIIIIIIIII
  E30     = ZIIIXIIIIIIIII
  E31     = XIIIIXIIIIIIII
  E32     = YIIIIXIIIIIIII
  E33     = ZIIIIXIIIIIIII
  E34     = IXXIIIIIIIIIII
  E35     = IYXIIIIIIIIIII
  E36     = IZXIIIIIIIIIII
  E37     = IXYIIIIIIIIIII
  E38     = IYYIIIIIIIIIII
  E39     = IZYIIIIIIIIIII
  E40     = IXZIIIIIIIIIII
  E41     = IYZIIIIIIIIIII
  E42     = IZZIIIIIIIIIII
  E43     = IXIXIIIIIIIIII
  E44     = IYIXIIIIIIIIII
  E45     = IZIXIIIIIIIIII
  E46     = IXIYIIIIIIIIII
  E47     = IYIYIIIIIIIIII
  E48     = IZIYIIIIIIIIII
  E49     = IXIZIIIIIIIIII
  E50     = IYIZIIIIIIIIII
  E51     = IZIZIIIIIIIIII
  E52     = IXIIXIIIIIIIII
  E53     = IYIIXIIIIIIIII
  E54     = IZIIXIIIIIIIII
  E55     = IXIIIXIIIIIIII
  E56     = IYIIIXIIIIIIII
  E57     = IZIIIXIIIIIIII
  E58     = IIXXIIIIIIIIII
  E59     = IIYXIIIIIIIIII
  E60     = IIZXIIIIIIIIII
  E61     = IIXYIIIIIIIIII
  E62     = IIYYIIIIIIIIII
  E63     = IIZYIIIIIIIIII
  E64     = IIXZIIIIIIIIII
  E65     = IIYZIIIIIIIIII
  E66     = IIZZIIIIIIIIII
  E67     = IIXIXIIIIIIIII
  E68     = IIYIXIIIIIIIII
  E69     = IIZIXIIIIIIIII
  E70     = IIXIIXIIIIIIII
  E71     = IIYIIXIIIIIIII
  E72     = IIZIIXIIIIIIII
  E73     = IIIXXIIIIIIIII
  E74     = IIIYXIIIIIIIII
  E75     = IIIZXIIIIIIIII
  E76     = IIIXIXIIIIIIII
  E77     = IIIYIXIIIIIIII
  E78     = IIIZIXIIIIIIII
  E79     = IIIIXXIIIIIIII
  E80     = IIIIYYIIIIIIII
  E81     = IIIIZYIIIIIIII
  E82     = IIIIYZIIIIIIII
  E83     = IIIIZZIIIIIIII
  E84     = IIIIIIXXIIIIII
  E85     = IIIIIIYYIIIIII
  E86     = IIIIIIZZIIIIII
  E87     = IIIIIIXIXIIIII
  E88     = IIIIIIXIIXIIII
  E89     = IIIIIIYIIIXIII
  E90     = IIIIIIYIIIIXII
  E91     = IIIIIIZIIIIIZI
  E92     = IIIIIIZIIIIIIZ
  E93     = IIIIIIIXXIIIII
  E94     = IIIIIIIXIXIIII
  E95     = IIIIIIIYIIXIII
  E96     = IIIIIIIYIIIXII
  E97     = IIIIIIIZIIIIZI
  E98     = IIIIIIIZIIIIIZ
  E99     = IIIIIIIIXXIIII
  E100    = IIIIIIIIYYIIII
  E101    = IIIIIIIIZZIIII
  E102    = IIIIIIIIZIZIII
  E103    = IIIIIIIIZIIZII
  E104    = IIIIIIIIYIIIXI
  E105    = IIIIIIIIYIIIIX
  E106    = IIIIIIIIIZZIII
  E107    = IIIIIIIIIZIZII
  E108    = IIIIIIIIIYIIXI
  E109    = IIIIIIIIIYIIIX
  E110    = IIIIIIIIIIXXII
  E111    = IIIIIIIIIIYYII
  E112    = IIIIIIIIIIZZII
  E113    = IIIIIIIIIIYIYI
  E114    = IIIIIIIIIIYIIY
  E115    = IIIIIIIIIIIYYI
  E116    = IIIIIIIIIIIYIY
  E117    = IIIIIIIIIIIIXX
  E118    = IIIIIIIIIIIIYY
  E119    = IIIIIIIIIIIIZZ

Weight 3:
  E1      = XXXIIIIIIIIIII
  E2      = YXXIIIIIIIIIII
  E3      = ZXXIIIIIIIIIII
  E4      = XYXIIIIIIIIIII
  E5      = YYXIIIIIIIIIII
  E6      = ZYXIIIIIIIIIII
  E7      = XZXIIIIIIIIIII
  E8      = YZXIIIIIIIIIII
  E9      = ZZXIIIIIIIIIII
  E10     = XXYIIIIIIIIIII
  E11     = YXYIIIIIIIIIII
  E12     = ZXYIIIIIIIIIII
  E13     = XYYIIIIIIIIIII
  E14     = YYYIIIIIIIIIII
  E15     = ZYYIIIIIIIIIII
  E16     = XZYIIIIIIIIIII
  E17     = YZYIIIIIIIIIII
  E18     = ZZYIIIIIIIIIII
  E19     = XXZIIIIIIIIIII
  E20     = YXZIIIIIIIIIII
  E21     = ZXZIIIIIIIIIII
