Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)

Weight 1:
  E1      = XIIIIIIIIIIIII
  E2      = YIIIIIIIIIIIII
  E3      = ZIIIIIIIIIIIII
  E4      = IXIIIIIIIIIIII
  E5      = IYIIIIIIIIIIII
  E6      = IZIIIIIIIIIIII
  E7      = IIXIIIIIIIIIII
  E8      = IIYIIIIIIIIIII
  E9      = IIZIIIIIIIIIII
  E10     = IIIXIIIIIIIIII
  E11     = IIIIXIIIIIIIII
  E12     = IIIIIXIIIIIIII
  E13     = IIIIIIXIIIIIII
  E14     = IIIIIIIXIIIIII

Weight 2:
  E1      = XXIIIIIIIIIIII
  E2      = YXIIIIIIIIIIII
  E3      = ZXIIIIIIIIIIII
  E4      = XYIIIIIIIIIIII
  E5      = YYIIIIIIIIIIII
  E6      = ZYIIIIIIIIIIII
  E7      = XZIIIIIIIIIIII
  E8      = YZIIIIIIIIIIII
  E9      = ZZIIIIIIIIIIII
  E10     = XIXIIIIIIIIIII
  E11     = YIXIIIIIIIIIII
  E12     = ZIXIIIIIIIIIII
  E13     = XIYIIIIIIIIIII
  E14     = YIYIIIIIIIIIII
  E15     = ZIYIIIIIIIIIII
  E16     = XIZIIIIIIIIIII
  E17     = YIZIIIIIIIIIII
  E18     = ZIZIIIIIIIIIII
  E19     = XIIXIIIIIIIIII
  E20     = YIIXIIIIIIIIII
  E21     = ZIIXIIIIIIIIII
  E22     = XIIIXIIIIIIIII
  E23     = YIIIXIIIIIIIII
  E24     = ZIIIXIIIIIIIII
  E25     = XIIIIXIIIIIIII
  E26     = YIIIIXIIIIIIII
  E27     = ZIIIIXIIIIIIII
  E28     = XIIIIIXIIIIIII
  E29     = YIIIIIXIIIIIII
  E30     = ZIIIIIXIIIIIII
  E31     = XIIIIIIXIIIIII
  E32     = YIIIIIIXIIIIII
  E33     = ZIIIIIIXIIIIII
  E34     = IXXIIIIIIIIIII
  E35     = IYXIIIIIIIIIII
  E36     = IZXIIIIIIIIIII
  E37     = IXYIIIIIIIIIII
  E38     = IYYIIIIIIIIIII
  E39     = IZYIIIIIIIIIII
  E40     = IXZIIIIIIIIIII
  E41     = IYZIIIIIIIIIII
  E42     = IZZIIIIIIIIIII
  E43     = IXIXIIIIIIIIII
  E44     = IYIXIIIIIIIIII
  E45     = IZIXIIIIIIIIII
  E46     = IXIIXIIIIIIIII
  E47     = IYIIXIIIIIIIII
  E48     = IZIIXIIIIIIIII
  E49     = IXIIIXIIIIIIII
  E50     = IYIIIXIIIIIIII
  E51     = IZIIIXIIIIIIII
  E52     = IXIIIIXIIIIIII
  E53     = IYIIIIXIIIIIII
  E54     = IZIIIIXIIIIIII
  E55     = IXIIIIIXIIIIII
  E56     = IYIIIIIXIIIIII
  E57     = IZIIIIIXIIIIII
  E58     = IIXXIIIIIIIIII
  E59     = IIYXIIIIIIIIII
  E60     = IIZXIIIIIIIIII
  E61     = IIXIXIIIIIIIII
  E62     = IIYIXIIIIIIIII
  E63     = IIZIXIIIIIIIII
  E64     = IIXIIXIIIIIIII
  E65     = IIYIIXIIIIIIII
  E66     = IIZIIXIIIIIIII
  E67     = IIXIIIXIIIIIII
  E68     = IIYIIIXIIIIIII
  E69     = IIZIIIXIIIIIII
  E70     = IIXIIIIXIIIIII
  E71     = IIYIIIIXIIIIII
  E72     = IIZIIIIXIIIIII
  E73     = IIIXXIIIIIIIII
  E74     = IIIYYIIIIIIIII
  E75     = IIIZYIIIIIIIII
  E76     = IIIYZIIIIIIIII
  E77     = IIIZZIIIIIIIII
  E78     = IIIXIXIIIIIIII
  E79     = IIIXIIXIIIIIII
  E80     = IIIXIIIXIIIIII
  E81     = IIIIXXIIIIIIII
  E82     = IIIIXIXIIIIIII
  E83     = IIIIXIIXIIIIII
  E84     = IIIIIXXIIIIIII
  E85     = IIIIIXIXIIIIII
  E86     = IIIIIYIIIIIZII
  E87     = IIIIIZIIIIIZII
  E88     = IIIIIYIIIIIIZI
  E89     = IIIIIZIIIIIIZI
  E90     = IIIIIIXXIIIIII
  E91     = IIIIIIYIIIIXII
  E92     = IIIIIIZIIIIXII
  E93     = IIIIIIYIIIIIIX
  E94     = IIIIIIZIIIIIIX
  E95     = IIIIIIIYIIIIYI
  E96     = IIIIIIIZIIIIYI
  E97     = IIIIIIIYIIIIIY
  E98     = IIIIIIIZIIIIIY
  E99     = IIIIIIIIXXIIII
  E100    = IIIIIIIIYYIIII
  E101    = IIIIIIIIZZIIII
  E102    = IIIIIIIIXIXIII
  E103    = IIIIIIIIYIYIII
  E104    = IIIIIIIIZIZIII
  E105    = IIIIIIIIYIIYII
  E106    = IIIIIIIIXIIIXI
  E107    = IIIIIIIIZIIIIZ
  E108    = IIIIIIIIIXXIII
  E109    = IIIIIIIIIYYIII
  E110    = IIIIIIIIIZZIII
  E111    = IIIIIIIIIYIYII
  E112    = IIIIIIIIIXIIXI
  E113    = IIIIIIIIIZIIIZ
  E114    = IIIIIIIIIIYYII
  E115    = IIIIIIIIIIXIXI
  E116    = IIIIIIIIIIZIIZ
  E117    = IIIIIIIIIIIZZI
  E118    = IIIIIIIIIIIXIX
  E119    = IIIIIIIIIIIIYY

Weight 3:
  E1      = XXXIIIIIIIIIII
  E2      = YXXIIIIIIIIIII
  E3      = ZXXIIIIIIIIIII
  E4      = XYXIIIIIIIIIII
  E5      = YYXIIIIIIIIIII
  E6      = ZYXIIIIIIIIIII
  E7      = XZXIIIIIIIIIII
  E8      = YZXIIIIIIIIIII
  E9      = ZZXIIIIIIIIIII
  E10     = XXYIIIIIIIIIII
  E11     = YXYIIIIIIIIIII
  E12     = ZXYIIIIIIIIIII
  E13     = XYYIIIIIIIIIII
  E14     = YYYIIIIIIIIIII
  E15     = ZYYIIIIIIIIIII
  E16     = XZYIIIIIIIIIII
  E17     = YZYIIIIIIIIIII
  E18     = ZZYIIIIIIIIIII
  E19     = XXZIIIIIIIIIII
  E20     = YXZIIIIIIIIIII
  E21     = ZXZIIIIIIIIIII
