Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)

Weight 1:
  E1      = XIIIIIIIIIIIII
  E2      = YIIIIIIIIIIIII
  E3      = ZIIIIIIIIIIIII
  E4      = IXIIIIIIIIIIII
  E5      = IIXIIIIIIIIIII
  E6      = IIIXIIIIIIIIII
  E7      = IIIIXIIIIIIIII
  E8      = IIIIIXIIIIIIII
  E9      = IIIIIIXIIIIIII
  E10     = IIIIIIIXIIIIII
  E11     = IIIIIIIIXIIIII
  E12     = IIIIIIIIIXIIII
  E13     = IIIIIIIIIIXIII
  E14     = IIIIIIIIIIIXII

Weight 2:
  E1      = XXIIIIIIIIIIII
  E2      = YXIIIIIIIIIIII
  E3      = ZXIIIIIIIIIIII
  E4      = XIXIIIIIIIIIII
  E5      = YIXIIIIIIIIIII
  E6      = ZIXIIIIIIIIIII
  E7      = XIIXIIIIIIIIII
  E8      = YIIXIIIIIIIIII
  E9      = ZIIXIIIIIIIIII
  E10     = XIIIXIIIIIIIII
  E11     = YIIIXIIIIIIIII
  E12     = ZIIIXIIIIIIIII
  E13     = XIIIIXIIIIIIII
  E14     = YIIIIXIIIIIIII
  E15     = ZIIIIXIIIIIIII
  E16     = XIIIIIXIIIIIII
  E17     = YIIIIIXIIIIIII
  E18     = ZIIIIIXIIIIIII
  E19     = XIIIIIIXIIIIII
  E20     = YIIIIIIXIIIIII
  E21     = ZIIIIIIXIIIIII
  E22     = XIIIIIIIXIIIII
  E23     = YIIIIIIIXIIIII
  E24     = ZIIIIIIIXIIIII
  E25     = XIIIIIIIIXIIII
  E26     = YIIIIIIIIXIIII
  E27     = ZIIIIIIIIXIIII
  E28     = XIIIIIIIIIXIII
  E29     = YIIIIIIIIIXIII
  E30     = ZIIIIIIIIIXIII
  E31     = XIIIIIIIIIIXII
  E32     = YIIIIIIIIIIXII
  E33     = ZIIIIIIIIIIXII
  E34     = IXXIIIIIIIIIII
  E35     = IYYIIIIIIIIIII
  E36     = IZYIIIIIIIIIII
  E37     = IYZIIIIIIIIIII
  E38     = IZZIIIIIIIIIII
  E39     = IXIXIIIIIIIIII
  E40     = IXIIXIIIIIIIII
  E41     = IXIIIXIIIIIIII
  E42     = IXIIIIXIIIIIII
  E43     = IXIIIIIXIIIIII
  E44     = IXIIIIIIXIIIII
  E45     = IXIIIIIIIXIIII
  E46     = IXIIIIIIIIXIII
  E47     = IXIIIIIIIIIXII
  E48     = IIXXIIIIIIIIII
  E49     = IIXIXIIIIIIIII
  E50     = IIXIIXIIIIIIII
  E51     = IIXIIIXIIIIIII
  E52     = IIXIIIIXIIIIII
  E53     = IIXIIIIIXIIIII
  E54     = IIXIIIIIIXIIII
  E55     = IIXIIIIIIIXIII
  E56     = IIXIIIIIIIIXII
  E57     = IIIXXIIIIIIIII
  E58     = IIIYYIIIIIIIII
  E59     = IIIZYIIIIIIIII
  E60     = IIIYZIIIIIIIII
  E61     = IIIZZIIIIIIIII
  E62     = IIIXIXIIIIIIII
  E63     = IIIXIIXIIIIIII
  E64     = IIIXIIIXIIIIII
  E65     = IIIXIIIIXIIIII
  E66     = IIIXIIIIIXIIII
  E67     = IIIXIIIIIIXIII
  E68     = IIIXIIIIIIIXII
  E69     = IIIIXXIIIIIIII
  E70     = IIIIXIXIIIIIII
  E71     = IIIIXIIXIIIIII
  E72     = IIIIXIIIXIIIII
  E73     = IIIIXIIIIXIIII
  E74     = IIIIXIIIIIXIII
  E75     = IIIIXIIIIIIXII
  E76     = IIIIIXXIIIIIII
  E77     = IIIIIYYIIIIIII
  E78     = IIIIIZYIIIIIII
  E79     = IIIIIYZIIIIIII
  E80     = IIIIIZZIIIIIII
  E81     = IIIIIXIXIIIIII
  E82     = IIIIIXIIXIIIII
  E83     = IIIIIXIIIXIIII
  E84     = IIIIIXIIIIXIII
  E85     = IIIIIXIIIIIXII
  E86     = IIIIIIXXIIIIII
  E87     = IIIIIIXIXIIIII
  E88     = IIIIIIXIIXIIII
  E89     = IIIIIIXIIIXIII
  E90     = IIIIIIXIIIIXII
  E91     = IIIIIIIXXIIIII
  E92     = IIIIIIIXIXIIII
  E93     = IIIIIIIXIIXIII
  E94     = IIIIIIIXIIIXII
  E95     = IIIIIIIYIIIIZI
  E96     = IIIIIIIZIIIIZI
  E97     = IIIIIIIYIIIIIZ
  E98     = IIIIIIIZIIIIIZ
  E99     = IIIIIIIIXXIIII
  E100    = IIIIIIIIXIXIII
  E101    = IIIIIIIIXIIXII
  E102    = IIIIIIIIYIIIXI
  E103    = IIIIIIIIZIIIXI
  E104    = IIIIIIIIYIIIIX
  E105    = IIIIIIIIZIIIIX
  E106    = IIIIIIIIIXXIII
  E107    = IIIIIIIIIXIXII
  E108    = IIIIIIIIIYIIYI
  E109    = IIIIIIIIIZIIYI
  E110    = IIIIIIIIIYIIIY
  E111    = IIIIIIIIIZIIIY
  E112    = IIIIIIIIIIXXII
  E113    = IIIIIIIIIIYYII
  E114    = IIIIIIIIIIZYII
  E115    = IIIIIIIIIIYZII
  E116    = IIIIIIIIIIZZII
  E117    = IIIIIIIIIIIIXX
  E118    = IIIIIIIIIIIIYY
  E119    = IIIIIIIIIIIIZZ

Weight 3:
  E1      = XXXIIIIIIIIIII
  E2      = YXXIIIIIIIIIII
  E3      = ZXXIIIIIIIIIII
  E4      = XYYIIIIIIIIIII
  E5      = YYYIIIIIIIIIII
  E6      = ZYYIIIIIIIIIII
  E7      = XZYIIIIIIIIIII
  E8      = YZYIIIIIIIIIII
  E9      = ZZYIIIIIIIIIII
  E10     = XYZIIIIIIIIIII
  E11     = YYZIIIIIIIIIII
  E12     = ZYZIIIIIIIIIII
  E13     = XZZIIIIIIIIIII
  E14     = YZZIIIIIIIIIII
  E15     = ZZZIIIIIIIIIII
  E16     = XXIXIIIIIIIIII
  E17     = YXIXIIIIIIIIII
  E18     = ZXIXIIIIIIIIII
  E19     = XXIIXIIIIIIIII
  E20     = YXIIXIIIIIIIII
  E21     = ZXIIXIIIIIIIII
